"","x","y","type"
"875","14","14.2","diagDot"
"876","3.1","6.9","diagDot"
"877","10.5","10.5","diagDot"
"878","0.2","14.7","diagDot"
"879","10.6","10.6","diagDot"
"880","5.1","3.5","diagDot"
"881","1.3","4.3","diagDot"
"882","5","1.2","diagDot"
"883","4.3","8.7","diagDot"
"884","10.6","7.2","diagDot"
"885","4.3","4.4","diagDot"
"886","14.4","0.4","diagDot"
"887","4.2","4.2","diagDot"
"888","2.1","4.5","diagDot"
"889","4.3","4.4","diagDot"
"890","14.8","14.9","diagDot"
"891","5.5","3.1","diagDot"
"892","2.9","6.1","diagDot"
"893","10.5","10.5","diagDot"
"894","11.9","4.9","diagDot"
"895","2.1","13.7","diagDot"
"896","4.3","4.5","diagDot"
"897","10.5","10.5","diagDot"
"898","2.7","2","diagDot"
"899","0.3","0.4","diagDot"
"900","2.8","2.5","diagDot"
"901","13.5","6","diagDot"
"902","7","6.7","diagDot"
"903","3.8","5.8","diagDot"
"904","7.8","7.7","diagDot"
"905","9.9","13.6","diagDot"
"906","10.2","14.9","diagDot"
"907","5.2","11.2","diagDot"
"908","4.9","10.4","diagDot"
"909","10.5","10.5","diagDot"
"910","3.8","14.2","diagDot"
"911","3.8","4.2","diagDot"
"912","5.3","1.5","diagDot"
"913","10.8","10.5","diagDot"
"914","1.8","1","diagDot"
"915","2.4","2.4","diagDot"
"916","10.6","10.5","diagDot"
"917","1","4.2","diagDot"
"918","2.4","14.7","diagDot"
"919","5.2","5.1","diagDot"
"920","3.3","6.7","diagDot"
"921","10.4","10","diagDot"
